This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196603,   -1.82,   -0.08,   -2.33,   -2.85,   -0.34,   -1.92,   -3.86,   -2.86,   -1.66,   -3.31,   -1.83,   -0.84,   -0.02,   -2.67,   -0.93,   -4.01,   -3.46
196604,    2.90,    2.68,    1.79,    0.81,    5.18,    2.17,    2.24,    0.96,    2.83,    0.29,    1.94,    5.06,    5.26,    2.73,    1.46,    1.60,    3.93
196605,   -6.29,   -5.21,   -4.82,   -5.50,   -4.79,   -5.28,   -3.84,   -3.97,   -5.86,   -5.97,   -4.49,   -7.23,   -3.26,   -6.53,   -3.65,   -3.33,   -5.18
196606,    0.43,   -0.86,   -1.72,   -2.09,   -0.97,   -1.85,    0.44,   -1.35,   -2.19,   -2.61,   -0.98,    0.21,   -1.68,   -2.09,   -1.55,    0.64,   -0.08
196607,   -0.20,   -1.18,   -0.11,   -2.37,   -1.97,   -1.97,   -1.80,   -0.80,    0.57,   -3.40,   -0.72,   -2.21,   -1.45,   -1.41,   -3.09,   -2.66,   -0.84
196608,   -6.39,   -9.49,   -7.45,   -6.75,   -7.31,   -7.51,   -8.29,   -6.93,   -7.97,   -6.93,   -6.47,   -6.39,   -9.37,   -5.81,  -10.95,   -8.19,   -8.40
196609,    2.35,    1.70,   -1.90,    0.13,   -2.81,   -0.89,   -3.41,   -5.12,    1.32,   -0.39,    0.93,   -3.65,   -0.87,   -0.84,   -1.00,   -3.30,   -3.53
196610,    7.09,    6.67,    2.55,    4.21,    2.72,    6.28,    0.70,    4.66,    0.57,    4.17,    4.27,    2.40,    3.43,    8.34,    1.92,    0.95,    0.42
196611,   -0.70,    0.11,    0.60,    0.75,    6.72,    1.30,    6.86,    1.24,   -0.02,   -0.02,    1.93,    8.78,    2.11,   -1.54,    7.71,    6.75,    7.00
196612,   -1.17,    2.89,    0.53,   -1.77,    0.13,    1.84,    2.15,    1.12,   -0.04,   -3.02,    0.11,   -0.77,    2.29,    2.50,    0.49,    2.58,    1.69
196701,    6.32,    6.93,    9.16,    7.47,    9.71,    7.73,   11.07,    8.36,    9.96,    7.27,    7.76,    9.11,   11.09,    6.96,    9.35,   10.62,   11.57
196702,   -0.20,   -0.73,    0.35,    0.54,    3.51,    2.03,    1.81,    1.02,   -0.30,   -0.42,    1.92,    4.41,    1.46,    1.90,    2.29,    0.98,    2.73
196703,    4.19,    2.99,    3.87,    2.64,    5.48,    5.28,    6.71,    3.58,    4.17,    2.92,    2.25,    6.16,    3.88,    4.63,    6.61,    7.27,    6.10
196704,    2.41,    2.43,    5.47,    5.62,    8.03,    1.67,    4.82,    2.86,    8.06,    6.58,    4.26,    8.24,    7.53,    0.95,    3.10,    5.54,    4.03
196705,   -2.77,   -2.96,   -5.35,   -4.80,   -4.52,   -4.74,   -3.63,   -4.97,   -5.72,   -6.46,   -2.38,   -4.55,   -4.46,   -5.62,   -3.01,   -4.85,   -2.28
196706,    2.47,    2.08,   -0.39,    1.89,    3.84,    3.69,    4.20,    0.77,   -1.51,    1.19,    2.87,    4.07,    3.28,    3.98,    3.14,    2.08,    6.49
196707,    8.46,    5.15,    6.59,    4.32,    4.32,    1.14,    4.94,    6.84,    6.07,    3.79,    5.58,    4.44,    4.24,   -1.01,    3.55,    4.14,    5.87
196708,   -0.95,   -0.45,   -0.67,   -0.38,   -0.67,   -0.98,   -1.04,   -0.48,   -1.05,   -0.29,   -0.60,   -0.59,   -0.72,   -1.31,   -0.63,    0.15,   -2.40
196709,    2.77,    1.05,    4.13,    2.75,    3.68,    4.95,    2.25,    3.61,    5.19,    3.16,    1.78,    2.04,    4.64,    3.12,    6.89,    1.75,    2.85
196710,   -3.82,   -4.53,   -3.13,   -2.37,   -2.86,    0.22,   -3.56,   -2.35,   -4.69,   -1.23,   -5.06,   -5.53,   -1.33,   -3.14,    3.66,   -5.04,   -1.83
196711,   -0.19,    1.14,   -0.64,    1.39,    0.81,    1.53,    1.19,   -0.73,   -0.45,    2.27,   -0.77,    0.20,    1.15,    0.26,    2.74,    1.16,    1.22
196712,    2.43,    3.35,    3.81,    3.32,    3.69,    2.05,    4.11,    3.50,    4.44,    3.22,    3.57,    5.28,    2.83,    1.65,    2.41,    3.07,    5.27
196801,   -2.74,   -0.99,   -3.67,   -4.24,   -6.70,   -3.58,   -6.11,   -2.98,   -5.04,   -4.63,   -3.28,   -4.94,   -7.68,   -2.11,   -4.94,   -5.17,   -7.14
196802,   -3.02,   -2.64,   -2.13,   -3.13,   -3.94,   -3.36,   -4.96,   -2.41,   -1.56,   -3.10,   -3.22,   -4.06,   -3.88,   -2.76,   -3.93,   -4.75,   -5.20
196803,   -0.51,   -1.68,    0.28,    1.38,    2.12,    1.58,    0.81,    0.33,    0.17,    1.48,    1.11,    1.21,    2.64,   -0.44,    3.52,    1.57,   -0.03
196804,    9.91,    7.00,    7.56,    9.39,   12.49,    8.66,   10.62,    6.84,    9.00,    9.32,    9.56,   12.00,   12.75,    6.11,   11.01,    9.74,   11.63
196805,    1.36,    3.24,   -0.24,    3.80,    5.49,    2.03,    3.40,   -0.48,    0.22,    4.33,    2.48,    4.10,    6.24,   -0.53,    4.27,    3.26,    3.57
196806,    1.52,    3.96,    1.14,   -0.22,   -0.61,    1.11,    0.85,    1.75,   -0.06,   -0.79,    1.23,   -0.41,   -0.71,    2.29,    0.14,    2.59,   -1.10
196807,    0.79,   -0.28,   -1.62,   -2.53,   -4.15,   -2.83,   -5.89,   -1.12,   -2.40,   -0.91,   -4.14,   -3.68,   -4.47,   -1.91,   -4.10,   -4.79,   -6.90
196808,    2.12,    1.65,    1.91,    1.15,    2.19,    1.53,    1.43,    1.31,    2.85,    1.75,    0.54,    2.05,    2.29,    1.48,    1.59,    0.99,    1.84
196809,    3.78,    3.65,    5.03,    3.56,    3.85,    5.22,    4.91,    4.91,    5.22,    4.36,    2.74,    4.37,    3.49,    5.28,    5.15,    5.68,    4.20
196810,    1.95,    2.56,    2.40,   -0.87,    0.48,   -1.15,    0.66,    3.80,    0.22,    0.96,   -2.80,    0.52,    0.45,   -0.93,   -1.46,    0.32,    0.98
196811,    5.80,    5.99,    3.23,    6.23,    6.09,    8.59,    7.23,    2.44,    4.49,    5.58,    6.94,    7.08,    5.39,    9.24,    7.67,    6.32,    8.07
196812,   -4.34,   -2.26,   -3.76,   -5.17,   -3.11,   -1.65,   -3.25,   -3.65,   -3.94,   -5.03,   -5.32,   -1.66,   -4.14,   -2.58,   -0.30,   -3.03,   -3.45
196901,   -0.90,    0.80,    0.99,   -1.75,   -0.73,   -2.33,   -2.25,    0.13,    2.36,    0.07,   -3.71,   -0.56,   -0.85,   -2.76,   -1.72,   -1.55,   -2.89
196902,   -4.11,   -5.02,   -3.85,   -3.84,   -5.41,   -7.15,   -8.27,   -2.86,   -5.38,   -4.29,   -3.34,   -6.12,   -4.90,   -7.08,   -7.26,   -7.48,   -9.00
196903,    4.31,    1.82,    4.40,    3.36,    3.25,    2.06,    2.33,    3.92,    5.15,    1.03,    5.94,    2.69,    3.66,    0.72,    3.95,    1.79,    2.84
196904,    2.88,    0.98,    1.49,    3.74,    1.14,    2.33,    0.78,    0.96,    2.32,    4.24,    3.21,    2.20,    0.39,    2.94,    1.51,    0.93,    0.64
196905,    1.00,    0.39,   -0.20,    0.47,   -0.17,    0.68,   -0.32,    0.64,   -1.48,    1.25,   -0.36,    0.37,   -0.56,    1.53,   -0.49,    1.41,   -1.99
196906,   -6.29,   -7.12,   -6.60,   -3.42,   -6.67,   -8.67,   -8.12,   -6.88,   -6.16,   -5.44,   -1.25,   -7.34,   -6.18,   -8.18,   -9.36,   -6.02,  -10.21
196907,   -6.91,   -5.92,   -5.60,   -5.22,   -6.17,   -8.52,   -9.01,   -5.62,   -5.56,   -4.57,   -5.50,   -7.83,   -5.26,   -7.96,   -9.07,   -8.75,   -9.31
196908,    4.55,    2.20,    3.85,    6.33,    4.50,    6.33,    9.22,    3.33,    4.76,    4.53,    7.12,    5.89,    3.75,    5.76,    6.90,    8.80,    9.72
196909,   -3.55,   -1.64,   -2.41,   -0.78,   -2.10,   -4.21,   -3.70,   -2.73,   -1.86,    0.49,   -1.32,   -1.86,   -2.23,   -2.21,   -6.17,   -2.50,   -5.11
196910,    4.44,    6.09,    4.16,    6.10,    5.90,    6.59,    7.18,    4.15,    4.17,    7.75,    5.37,    7.76,    4.88,    7.50,    5.67,    5.07,    9.74
196911,   -3.84,   -4.93,   -4.11,   -1.68,   -1.75,   -4.16,   -3.97,   -4.57,   -3.33,   -2.55,   -1.30,   -3.86,   -0.56,   -5.52,   -2.76,   -3.15,   -4.93
196912,   -1.41,   -2.16,   -1.10,    0.75,   -3.76,   -3.51,   -3.66,   -0.45,   -2.20,    1.47,    0.44,   -1.91,   -4.78,   -2.45,   -4.59,   -2.45,   -5.09
197001,   -6.23,   -5.40,   -8.19,   -7.41,   -5.32,   -8.12,  -12.50,   -8.21,   -8.17,   -7.25,   -7.48,   -7.70,   -3.98,   -6.63,   -9.66,  -12.76,  -12.18
197002,    3.21,    7.91,    6.25,    5.15,    6.01,    7.68,    4.27,    7.21,    4.62,    5.75,    4.89,    6.32,    5.85,    7.36,    8.03,    5.37,    2.94
197003,    2.14,    0.86,    1.16,   -1.91,   -0.09,   -1.29,   -4.86,    1.69,    0.24,   -2.20,   -1.78,   -1.13,    0.48,   -1.12,   -1.47,   -4.39,   -5.44
197004,   -8.78,   -9.13,   -7.32,  -10.31,  -10.36,  -13.00,  -17.70,   -7.63,   -6.76,   -9.28,  -10.78,  -11.14,   -9.94,  -13.16,  -12.83,  -15.94,  -19.90
197005,   -1.91,   -5.36,   -5.59,   -6.44,   -6.35,   -7.66,  -11.97,   -5.55,   -5.65,   -7.67,   -5.88,   -8.02,   -5.47,   -9.58,   -5.62,  -12.21,  -11.67
197006,   -2.58,   -4.17,   -3.96,   -5.03,   -7.01,   -5.11,   -9.91,   -3.07,   -5.52,   -1.56,   -6.58,   -4.02,   -8.55,   -5.71,   -4.49,   -9.30,  -10.73
197007,   10.15,    7.19,    7.08,    4.96,    7.59,    7.08,    7.56,    7.30,    6.46,    9.44,    2.14,    7.81,    7.28,    4.96,    9.59,    7.01,    8.50
197008,    5.66,    3.55,    3.86,    5.24,    4.80,    6.43,    5.32,    3.49,    4.89,    4.76,    5.56,    4.41,    5.38,    6.83,    5.96,    5.71,    4.65
197009,    2.22,    4.74,    1.36,    6.85,    5.50,    6.67,    8.55,    0.77,    2.93,    5.36,    7.86,    4.89,    6.39,    7.15,    6.12,    7.21,   10.85
197010,   -0.38,   -2.92,   -0.71,   -1.06,   -3.52,   -3.32,   -3.05,   -0.98,    0.00,   -2.72,    0.03,   -2.06,   -5.63,   -3.12,   -3.55,   -2.58,   -3.83
197011,    5.48,    6.48,    5.15,    5.31,    5.10,    4.88,    3.59,    5.15,    5.17,    7.34,    4.02,    4.84,    5.48,    4.20,    5.68,    4.33,    2.33
197012,    5.69,    5.74,    7.07,    5.45,    7.12,    6.15,    5.83,    7.77,    5.24,    5.68,    5.30,    6.53,    7.99,    4.85,    7.64,    5.11,    7.06
197101,    2.71,    6.36,    4.08,    3.97,    7.50,    6.22,    9.08,    4.26,    3.60,    5.64,    2.87,    7.85,    7.00,    6.72,    5.65,    9.06,    9.12
197102,    2.76,    2.09,   -0.33,    2.72,    2.94,    1.16,    0.83,   -1.05,    1.62,    1.72,    3.40,    2.57,    3.47,    1.16,    1.17,    0.65,    1.13
197103,    3.39,    4.33,    3.30,    5.39,    4.58,    5.36,    5.61,    2.50,    5.38,    3.81,    6.43,    5.11,    3.80,    5.67,    5.01,    5.96,    5.03
197104,    4.46,    0.98,    3.36,    2.37,    5.44,    3.51,    3.54,    3.12,    3.97,    3.92,    1.38,    5.66,    5.12,    4.19,    2.74,    3.03,    4.40
197105,   -3.70,   -3.42,   -3.52,   -5.13,   -2.54,   -2.95,   -4.12,   -3.98,   -2.36,   -3.37,   -6.30,   -1.68,   -3.79,   -1.99,   -4.07,   -3.33,   -5.44
197106,    0.09,   -0.46,    0.55,   -0.47,    0.36,    1.21,    0.90,    0.35,    1.04,    0.40,   -1.05,    1.37,   -1.16,    1.37,    1.01,    1.39,    0.08
197107,   -3.24,   -4.55,   -3.79,   -5.60,   -3.34,   -3.36,   -4.89,   -4.20,   -3.27,   -6.13,   -5.47,   -3.42,   -3.27,   -2.47,   -5.10,   -3.70,   -6.03
197108,    3.78,    4.70,    4.40,    5.85,    4.92,    2.52,    2.79,    3.23,    5.88,    5.64,    5.91,    5.10,    4.77,    1.66,    4.23,    0.56,    4.98
197109,   -0.84,   -2.00,   -0.11,   -0.54,   -0.16,    0.12,   -0.36,   -0.04,   -0.20,   -1.46,   -0.30,    0.06,   -0.36,    0.70,   -1.00,   -0.15,   -0.55
197110,   -4.68,   -3.64,   -4.05,   -3.44,   -4.51,   -4.43,   -2.60,   -3.35,   -4.92,   -4.85,   -3.09,   -4.60,   -4.42,   -4.58,   -4.13,   -0.69,   -4.39
197111,    0.06,   -1.68,    0.64,    1.06,   -0.22,   -1.27,   -0.85,    1.17,   -0.02,   -0.65,    1.48,   -0.01,   -0.42,   -0.96,   -1.89,   -1.34,   -0.36
197112,    9.80,    8.61,    7.55,    9.59,    9.73,    9.78,   10.32,    8.87,    5.88,   10.25,    9.43,    9.80,    9.66,    9.26,   10.81,    9.16,   11.43
197201,    2.57,    4.70,    1.34,    3.16,    2.64,    2.16,    3.86,    1.17,    1.55,    1.86,    3.48,    3.27,    2.07,    2.02,    2.44,    2.36,    5.27
197202,    1.79,    2.34,    3.83,    3.28,    5.02,    2.38,    2.17,    3.86,    3.80,    3.03,    3.34,    4.63,    5.37,    2.41,    2.34,    0.19,    3.98
197203,   -0.89,    0.57,    2.48,    3.34,   -0.39,   -1.77,   -1.29,    1.44,    3.84,    1.25,    3.84,    1.13,   -1.78,   -1.95,   -1.40,   -0.87,   -1.66
197204,    1.34,   -0.71,    0.02,    0.60,    1.53,    0.91,    0.28,    0.63,   -0.76,    0.20,    0.69,    1.60,    1.47,    0.51,    1.68,   -1.34,    1.70
197205,    0.71,    0.53,    1.27,    3.08,    1.80,    1.79,    1.17,    2.06,    0.25,    1.76,    3.38,    1.15,    2.40,    2.51,    0.40,    0.06,    2.11
197206,   -1.94,   -4.41,   -1.53,   -1.25,   -2.11,   -2.51,   -2.66,   -0.65,   -2.68,   -0.74,   -1.36,   -0.86,   -3.28,   -2.25,   -3.02,   -2.95,   -2.42
197207,   -1.84,   -2.42,    0.80,    0.70,    0.56,   -1.76,   -2.70,   -0.07,    2.31,    0.94,    0.22,    1.66,   -1.78,   -0.22,   -3.36,   -1.37,   -4.82
197208,    5.80,    4.86,    3.37,    3.61,    3.74,    2.59,    2.36,    3.70,    2.81,    3.48,    3.85,    3.26,    4.81,    0.96,    4.33,    2.94,    1.40
197209,   -1.21,   -1.37,    1.16,   -0.50,   -1.27,   -2.04,   -1.83,    2.52,   -1.16,    0.15,   -1.73,   -0.92,   -2.01,   -2.11,   -1.98,   -1.49,   -2.41
197210,    1.14,    1.98,    1.05,    1.60,   -1.30,    1.84,    1.01,    0.54,    1.95,    1.46,    1.86,   -2.11,    0.47,    1.52,    2.18,    2.39,   -1.31
197211,    6.49,    6.59,    4.96,    3.25,    4.03,    5.89,    6.85,    6.12,    2.93,    3.59,    2.59,    3.53,    5.10,    5.94,    5.84,    8.18,    4.53
197212,   -0.84,   -1.05,    2.40,    1.71,    2.19,   -0.56,   -0.24,    2.17,    2.79,    1.72,    1.68,    2.26,    2.05,   -0.38,   -0.75,    0.01,   -0.67
197301,   -0.60,   -1.51,   -3.29,   -2.16,    1.14,   -5.46,   -6.48,   -3.36,   -3.16,   -1.00,   -4.44,    3.91,   -4.75,   -4.61,   -6.35,   -6.55,   -6.37
197302,   -5.74,   -6.07,   -2.85,   -3.46,   -3.39,   -5.45,   -5.55,   -3.15,   -2.31,   -4.34,   -1.69,   -2.33,   -5.85,   -3.98,   -7.00,   -4.78,   -6.96
197303,   -0.93,    1.44,   -0.45,   -0.22,    0.23,   -2.23,   -2.73,   -0.18,   -0.91,   -0.36,    0.06,    0.44,   -0.29,   -1.53,   -2.99,   -2.67,   -2.84
197304,   -3.37,   -2.45,   -3.03,   -4.50,   -5.23,   -7.15,   -6.93,   -2.16,   -4.55,   -4.55,   -4.40,   -5.30,   -5.06,   -6.68,   -7.68,   -6.43,   -7.86
197305,   -6.07,   -5.73,   -1.61,    0.35,   -1.62,   -1.49,   -4.19,   -1.52,   -1.77,    0.08,    0.89,   -1.54,   -1.82,   -1.16,   -1.87,   -2.13,   -8.06
197306,   -1.01,   -1.90,   -0.16,   -0.71,   -0.07,   -2.13,   -3.02,    0.01,   -0.47,    0.06,   -2.21,    0.30,   -0.94,   -2.03,   -2.25,   -2.21,   -4.64
197307,    4.64,    3.58,    3.72,    6.31,    4.31,    9.93,    7.60,    2.65,    5.17,    6.04,    6.55,    2.88,    8.76,    9.74,   10.14,    4.82,   10.85
197308,   -2.30,   -2.92,   -2.73,   -3.66,   -3.66,   -3.36,   -2.87,   -3.20,   -2.10,   -2.99,   -4.24,   -3.13,   -5.23,   -3.77,   -2.90,   -2.69,   -3.08
197309,    7.87,    6.93,    5.83,    4.41,    2.35,    6.36,    8.99,    4.32,    7.81,    4.99,    3.90,    0.76,    7.13,    6.74,    5.93,    7.67,   10.44
197310,   -2.25,    0.15,    0.09,    0.21,    1.03,    0.09,   -3.37,    0.80,   -0.82,    0.18,    0.24,    1.64,   -0.69,   -0.11,    0.32,   -2.39,   -4.43
197311,  -15.39,  -12.41,   -9.94,  -12.72,   -9.24,  -16.36,  -15.02,   -9.69,  -10.25,  -11.62,  -13.70,   -8.09,  -12.59,  -16.27,  -16.45,  -13.66,  -16.51
197312,    1.71,    4.48,    2.79,   -0.69,    0.81,    0.78,    0.49,    4.17,    0.99,   -0.67,   -0.71,    1.48,   -1.20,   -0.50,    2.24,    0.36,    0.65
197401,    4.51,    1.81,   -2.70,    0.27,   -0.91,    1.22,    3.34,   -3.24,   -1.97,   -1.20,    1.62,   -1.65,    1.39,    3.36,   -1.15,    3.20,    3.51
197402,    0.50,    0.29,   -1.81,   -0.24,    1.41,    0.14,    0.39,   -1.61,   -2.07,   -0.26,   -0.23,    1.70,    0.54,   -0.74,    1.16,    1.21,   -0.54
197403,   -1.62,   -2.15,   -2.11,   -1.71,   -2.43,   -2.39,   -3.86,   -1.96,   -2.31,   -2.93,   -0.62,   -2.52,   -2.17,   -1.69,   -3.20,   -3.16,   -4.66
197404,   -2.77,   -5.24,   -5.14,   -2.59,   -4.05,   -4.58,   -9.33,   -4.99,   -5.34,   -3.45,   -1.84,   -3.92,   -4.42,   -4.04,   -5.19,  -10.95,   -7.44
197405,   -3.32,   -4.56,   -4.09,   -1.19,   -3.49,   -2.69,   -7.74,   -4.49,   -3.56,   -2.07,   -0.44,   -2.70,   -5.96,   -1.45,   -4.13,   -7.25,   -8.30
197406,   -1.81,   -2.05,   -2.17,   -0.28,   -1.38,   -3.93,   -5.33,   -2.95,   -1.14,    0.32,   -0.78,   -0.69,   -3.55,   -3.45,   -4.50,   -6.69,   -3.80
197407,   -5.48,   -2.90,   -9.99,   -9.09,   -8.14,   -9.07,   -5.80,  -10.21,   -9.79,  -10.05,   -7.86,   -7.65,   -9.06,  -10.34,   -7.57,   -6.31,   -5.09
197408,   -7.38,   -7.97,   -9.00,   -8.21,   -9.49,  -10.18,   -9.47,   -9.06,   -8.95,   -5.84,  -11.20,   -8.55,  -11.28,  -10.08,  -10.29,   -8.92,  -10.24
197409,   -9.78,   -6.54,  -16.10,   -9.28,  -12.51,  -12.49,   -9.31,  -15.31,  -16.82,   -9.27,   -9.28,  -13.10,  -11.34,  -13.87,  -10.93,   -9.50,   -9.04
197410,   13.53,   12.70,   17.88,   19.54,   17.27,   21.30,   17.21,   16.83,   18.87,   18.26,   21.26,   16.53,   18.72,   23.46,   18.93,   18.74,   15.02
197411,   -3.33,   -2.55,   -5.21,   -5.13,   -4.72,   -2.76,   -2.57,   -5.95,   -4.53,   -4.93,   -5.38,   -4.41,   -5.31,   -2.09,   -3.53,   -2.95,   -2.01
197412,   -1.70,   -3.15,   -2.58,   -1.75,   -2.94,   -3.97,   -4.56,   -4.81,   -0.57,   -1.60,   -1.95,   -2.54,   -3.69,   -3.02,   -5.08,   -3.99,   -5.40
197501,   15.89,   16.89,   13.48,   11.49,   13.28,   11.14,   18.95,   12.80,   14.07,   13.62,    8.72,   12.62,   14.57,    6.65,   16.50,   17.15,   21.63
