This file was created by CMPT_VAR_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
198101,    2.21,    0.65,    0.11,   -0.34,    0.21,    2.25,    2.11,    0.67,    0.63,   -0.72,    0.80,    0.40,   -0.99,    0.10,    0.26
198102,    2.43,    1.78,    1.93,    0.59,   -1.75,    2.48,    2.30,    1.79,    1.76,    0.93,    2.90,    1.57,   -0.30,   -0.29,   -2.41
198103,    6.11,    7.76,    8.56,    8.87,    6.82,    5.95,    6.57,    7.67,    7.85,    8.63,    8.51,    9.14,    8.68,    8.84,    5.96
198104,    3.54,    3.06,    3.29,    3.22,    2.20,    4.02,    2.37,    2.76,    3.38,    4.17,    2.36,    3.33,    3.14,    3.79,    1.44
198105,    1.28,    2.29,    2.98,    3.86,    3.44,    1.31,    1.22,    1.93,    2.61,    3.69,    2.31,    3.87,    3.85,    3.89,    3.24
198106,    2.73,    0.65,    0.77,   -1.58,   -4.26,    2.77,    2.61,    0.77,    0.51,    1.15,    0.41,   -1.12,   -1.97,   -3.39,   -4.62
198107,   -1.49,   -1.69,   -2.10,   -2.11,   -2.48,   -1.07,   -2.50,   -1.59,   -1.80,   -2.59,   -1.64,   -2.66,   -1.72,   -1.65,   -2.82
198108,   -2.36,   -5.71,   -6.30,   -8.02,  -10.84,   -1.90,   -3.46,   -5.07,   -6.38,   -5.22,   -7.20,   -7.87,   -8.13,   -9.27,  -11.46
198109,   -4.33,   -6.03,   -7.48,   -9.11,  -12.66,   -4.07,   -5.04,   -5.92,   -6.15,   -6.87,   -7.98,   -8.98,   -9.22,  -11.28,  -13.18
198110,    3.97,    5.83,    7.34,    8.70,    8.55,    3.64,    4.72,    5.56,    6.09,    7.36,    7.31,    7.77,    9.60,    9.91,    8.03
198111,    4.38,    4.51,    3.43,    2.93,   -0.96,    4.08,    4.98,    4.72,    4.28,    2.80,    4.13,    3.04,    2.85,    1.36,   -1.93
198112,   -0.44,   -0.57,   -0.77,   -2.78,   -3.45,   -0.23,   -0.95,    0.03,   -1.30,   -0.76,   -0.77,   -2.96,   -2.62,   -3.10,   -3.63
198201,   -1.13,   -2.32,   -2.40,   -2.55,   -1.33,   -0.98,   -1.50,   -1.88,   -2.73,   -1.90,   -2.79,   -3.03,   -2.05,   -1.58,   -1.20
198202,   -0.83,   -2.72,   -4.07,   -5.00,   -7.33,   -0.74,   -1.05,   -2.69,   -2.76,   -3.58,   -4.59,   -4.81,   -5.19,   -5.74,   -8.02
198203,    0.18,   -0.68,   -1.26,   -1.66,   -1.86,    0.41,   -0.30,   -0.82,   -0.54,   -0.78,   -1.64,   -1.30,   -1.98,   -1.33,   -2.07
198204,    3.56,    5.46,    5.99,    6.75,    5.62,    3.37,    4.01,    5.94,    5.03,    5.72,    6.24,    7.07,    6.49,    6.81,    5.09
198205,    0.13,   -1.99,   -2.12,   -2.12,   -4.13,    0.82,   -1.19,   -2.02,   -1.97,   -1.58,   -2.76,   -2.08,   -2.16,   -2.59,   -4.79
198206,   -1.71,   -2.06,   -2.53,   -2.27,   -5.75,   -1.58,   -1.96,   -1.55,   -2.55,   -2.70,   -2.37,   -1.57,   -2.87,   -3.40,   -6.78
198207,   -0.92,   -0.60,   -0.70,   -1.38,   -2.90,   -0.86,   -1.03,   -0.62,   -0.59,   -1.02,   -0.39,   -0.32,   -2.17,   -1.15,   -3.59
198208,    5.14,    7.00,    8.08,    9.02,    5.20,    3.94,    7.95,    6.75,    7.25,    7.72,    8.46,    9.48,    8.62,    7.09,    4.35
198209,    5.03,    4.59,    4.39,    3.56,    0.92,    5.02,    5.06,    4.85,    4.30,    4.66,    4.11,    3.53,    3.59,    2.80,   -0.03
198210,    8.59,   12.46,   14.01,   15.79,   14.63,    7.68,   10.66,   11.14,   13.83,   13.79,   14.24,   15.62,   15.92,   15.50,   14.22
198211,    7.13,    7.71,   10.12,   11.17,   10.17,    6.88,    7.71,    6.40,    9.03,    9.86,   10.35,   11.85,   10.60,   10.93,    9.86
198212,    1.75,    2.20,    2.15,    2.92,    2.43,    2.28,    0.62,    1.57,    2.79,    1.95,    2.37,    2.07,    3.54,    1.72,    2.72
198301,    4.83,    4.92,    7.17,   10.19,   17.40,    5.19,    4.05,    4.29,    5.46,    7.20,    7.13,    8.01,   11.99,   12.30,   19.32
198302,    4.79,    6.39,    6.92,    7.53,    4.40,    4.47,    5.47,    5.97,    6.80,    6.63,    7.19,    7.44,    7.62,    6.73,    3.70
198303,    5.47,    5.31,    5.87,    4.84,    4.76,    5.64,    5.16,    5.80,    4.78,    5.43,    6.28,    4.72,    4.92,    4.47,    4.86
198304,    7.05,    7.03,    8.33,    8.41,    8.58,    7.05,    7.06,    6.93,    7.14,    6.91,    9.75,    8.49,    8.35,    7.54,    8.94
198305,    4.66,    5.69,    6.60,    9.51,   12.83,    4.58,    4.77,    5.87,    5.50,    6.87,    6.34,    8.09,   10.76,   10.80,   13.71
198306,    3.22,    4.33,    4.77,    5.33,    5.55,    2.93,    3.67,    2.95,    5.69,    4.79,    4.76,    5.38,    5.29,    5.86,    5.44
198307,    1.44,   -1.10,   -1.23,   -2.48,   -2.92,    1.77,    0.88,   -0.93,   -1.26,   -1.11,   -1.35,   -1.18,   -3.63,   -2.66,   -3.02
198308,    0.10,   -1.88,   -2.50,   -3.32,   -4.66,    0.49,   -0.61,   -1.87,   -1.89,   -1.61,   -3.31,   -2.76,   -3.75,   -1.36,   -5.84
198309,    3.13,    3.28,    2.05,    1.09,   -2.47,    3.37,    2.70,    3.38,    3.18,    2.05,    2.05,    1.89,    0.30,    0.00,   -3.36
198310,   -0.50,   -2.63,   -4.33,   -5.79,   -9.30,    0.06,   -1.50,   -2.13,   -3.26,   -4.76,   -3.92,   -5.32,   -6.11,   -8.48,   -9.64
198311,    2.06,    3.47,    4.78,    4.17,    2.16,    1.79,    2.63,    3.69,    3.23,    3.88,    5.61,    4.16,    4.18,    4.00,    1.42
198312,    0.57,   -0.13,   -0.92,   -1.50,   -4.58,    0.86,    0.02,   -0.33,    0.06,   -0.60,   -1.24,   -1.25,   -1.71,   -3.94,   -4.85
198401,    1.18,   -0.30,   -0.41,   -0.76,    0.77,    1.76,   -0.14,   -0.07,   -0.53,   -0.07,   -0.66,   -0.12,   -1.29,   -0.27,    1.14
198402,   -3.18,   -4.67,   -5.71,   -5.98,   -7.03,   -2.60,   -4.51,   -4.65,   -4.68,   -5.27,   -6.19,   -6.48,   -5.51,   -7.15,   -6.99
198403,    1.20,    0.96,    1.96,    1.43,   -0.38,    1.35,    0.80,    1.22,    0.68,    2.05,    1.87,    1.47,    1.40,    0.06,   -0.57
198404,    0.10,   -0.45,   -0.84,   -1.10,   -4.04,    0.20,   -0.12,   -0.72,   -0.13,   -0.84,   -0.83,   -0.69,   -1.41,   -2.62,   -4.58
198405,   -2.69,   -4.32,   -4.54,   -4.65,   -6.93,   -2.33,   -3.49,   -4.56,   -4.09,   -3.95,   -5.17,   -4.60,   -4.69,   -6.05,   -7.24
198406,    1.88,    1.68,    2.57,    2.47,    0.53,    1.51,    2.58,    2.15,    1.21,    2.39,    2.73,    2.48,    2.46,    1.77,    0.06
198407,   -0.39,   -2.45,   -3.46,   -4.68,   -7.88,   -0.04,   -1.00,   -2.15,   -2.73,   -3.06,   -3.79,   -4.67,   -4.68,   -6.55,   -8.47
198408,    5.46,    9.47,   10.15,   11.28,    9.35,    4.01,    8.27,    9.33,    9.63,   10.16,   10.14,   11.22,   11.33,   10.71,    8.72
198409,    2.40,    1.10,    0.73,   -0.69,   -1.61,    2.32,    2.56,    2.18,    0.05,    0.84,    0.62,   -0.46,   -0.90,   -0.88,   -1.92
198410,    1.52,    0.07,   -0.68,   -1.91,   -4.91,    1.66,    1.24,    0.81,   -0.56,   -0.17,   -1.21,   -1.28,   -2.46,   -3.07,   -5.65
198411,    1.09,   -1.24,   -1.41,   -3.05,   -6.16,    1.54,    0.18,   -1.10,   -1.40,   -1.72,   -1.14,   -2.43,   -3.49,   -4.55,   -6.73
198412,    1.98,    1.87,    2.08,    0.72,   -0.41,    1.93,    2.09,    2.44,    1.32,    2.76,    1.52,    0.74,    0.70,    0.66,   -0.76
198501,    6.51,    9.51,   11.40,   13.92,   15.22,    5.83,    8.04,    8.51,   10.57,   10.19,   12.36,   13.26,   14.46,   15.17,   15.23
198502,    3.32,    2.83,    3.44,    3.96,    6.42,    3.82,    2.27,    3.15,    2.50,    3.55,    3.35,    3.39,    4.48,    3.54,    7.43
198503,    2.36,    0.39,   -0.53,   -1.59,   -2.61,    2.84,    1.52,    1.08,   -0.34,    0.34,   -1.32,   -0.77,   -2.26,   -1.80,   -2.94
198504,    1.79,    0.21,    0.24,   -0.78,   -2.84,    1.55,    2.10,   -0.24,    0.63,    0.23,    0.24,   -0.68,   -0.85,   -1.22,   -3.53
198505,    3.93,    4.43,    3.63,    3.09,    0.92,    3.70,    4.27,    4.52,    4.35,    3.79,    3.50,    3.69,    2.67,    2.53,    0.27
198506,    5.38,    2.04,    1.50,    1.44,   -1.19,    7.05,    2.91,    2.38,    1.72,    1.17,    1.80,    2.27,    0.81,    0.72,   -1.97
198507,    1.24,    1.88,    2.26,    2.49,    1.78,    1.03,    1.54,    1.63,    2.10,    1.38,    3.00,    2.64,    2.39,    2.27,    1.56
198508,    1.22,   -0.40,   -0.09,   -0.30,   -0.87,    1.73,    0.48,   -0.59,   -0.22,   -0.14,   -0.04,    0.59,   -0.92,   -1.81,   -0.50
198509,   -2.33,   -3.28,   -4.49,   -5.13,   -7.64,   -1.60,   -3.51,   -3.58,   -2.94,   -4.26,   -4.71,   -4.95,   -5.26,   -6.43,   -8.15
198510,    3.65,    3.69,    3.95,    2.94,    0.25,    2.94,    4.65,    4.12,    3.31,    3.78,    4.08,    3.32,    2.66,    2.18,   -0.69
198511,    5.65,    6.48,    6.44,    5.99,    4.69,    5.47,    5.91,    5.81,    7.11,    6.68,    6.22,    6.17,    5.86,    5.93,    4.13
198512,    3.54,    4.72,    4.16,    4.68,    1.78,    3.15,    4.09,    4.64,    4.79,    3.92,    4.38,    4.71,    4.66,    3.00,    1.29
198601,    2.71,    2.29,    2.49,    3.66,    5.82,    3.27,    1.86,    2.59,    2.02,    2.37,    2.59,    3.26,    3.94,    3.07,    6.86
198602,    7.11,    7.56,    7.17,    7.20,    5.43,    6.74,    7.64,    7.61,    7.51,    7.57,    6.83,    6.55,    7.69,    6.88,    4.90
198603,    5.31,    5.58,    5.29,    4.08,    4.72,    4.96,    5.77,    6.12,    5.12,    4.95,    5.59,    4.38,    3.87,    4.67,    4.74
198604,    0.86,    0.81,    1.29,    1.84,    1.77,    1.11,    0.48,    1.41,    0.30,    0.99,    1.57,    1.52,    2.07,    1.73,    1.79
198605,    3.81,    4.19,    3.95,    3.60,    3.79,    3.66,    4.01,    4.43,    3.99,    3.98,    3.93,    3.88,    3.41,    3.36,    3.97
198606,    2.69,    1.30,    1.69,    0.39,    0.29,    3.83,    1.18,    1.24,    1.37,    1.94,    1.48,    0.69,    0.16,    1.02,   -0.03
198607,   -1.59,   -5.39,   -6.80,   -8.04,   -9.50,   -0.24,   -3.58,   -4.97,   -5.79,   -6.69,   -6.91,   -7.51,   -8.49,   -9.25,   -9.60
198608,    3.19,    3.67,    3.45,    2.53,    0.61,    2.27,    4.66,    3.37,    4.00,    3.61,    3.30,    2.19,    2.78,    2.22,   -0.08
198609,   -5.27,   -5.80,   -5.80,   -6.21,   -7.08,   -4.95,   -5.82,   -6.66,   -5.06,   -6.00,   -5.61,   -5.97,   -6.38,   -6.89,   -7.15
198610,    2.17,    3.21,    3.62,    3.43,    1.58,    1.17,    3.73,    3.89,    2.60,    3.43,    3.78,    4.51,    2.66,    3.45,    0.70
198611,    0.16,    0.49,   -0.19,    0.05,   -1.76,   -0.30,    0.96,    0.73,    0.26,   -0.36,   -0.06,   -0.04,    0.14,   -0.71,   -2.26
198612,   -2.05,   -2.59,   -1.93,   -3.29,   -5.02,   -1.40,   -2.99,   -2.32,   -2.83,   -1.65,   -2.17,   -3.53,   -3.12,   -4.21,   -5.38
198701,    8.87,   10.84,   11.08,   12.15,   12.74,    7.91,   10.21,   10.71,   10.97,   11.34,   10.88,   11.84,   12.34,   12.05,   13.11
198702,    3.06,    6.48,    6.87,    8.51,    8.62,    2.41,    4.09,    5.68,    7.36,    6.91,    6.84,    8.32,    8.63,    7.62,    9.02
198703,    2.06,    2.26,    2.30,    2.43,    3.94,    1.58,    2.83,    2.34,    2.19,    3.13,    1.71,    2.60,    2.30,    3.14,    4.26
198704,   -2.15,   -2.16,   -2.64,   -3.29,   -1.64,   -1.80,   -2.66,   -1.78,   -2.56,   -2.82,   -2.50,   -3.17,   -3.37,   -1.85,   -1.56
198705,    0.66,    0.09,   -0.20,   -0.41,    0.17,    0.80,    0.45,    0.27,   -0.07,    0.06,   -0.43,   -0.44,   -0.39,   -0.53,    0.43
198706,    3.01,    4.77,    3.51,    2.42,    1.20,    2.48,    3.80,    5.67,    3.90,    3.45,    3.55,    3.02,    1.93,    1.85,    0.95
198707,    2.29,    3.89,    3.93,    3.31,    3.30,    2.12,    2.60,    3.77,    4.02,    3.54,    4.27,    3.87,    2.85,    2.59,    3.63
198708,    2.27,    4.17,    3.38,    3.02,    0.11,    1.68,    3.16,    4.21,    4.13,    3.61,    3.19,    3.56,    2.59,    1.82,   -0.60
198709,   -1.18,   -1.42,   -1.42,   -1.50,   -1.92,   -1.04,   -1.40,   -1.57,   -1.28,   -1.07,   -1.69,   -1.31,   -1.63,   -1.83,   -1.96
198710,  -17.85,  -24.19,  -26.69,  -28.32,  -30.35,  -15.52,  -21.54,  -23.33,  -24.98,  -25.45,  -27.84,  -27.72,  -28.76,  -30.34,  -30.36
198711,   -2.55,   -4.09,   -4.49,   -4.84,   -6.82,   -2.29,   -2.95,   -4.17,   -4.01,   -4.77,   -4.24,   -4.44,   -5.21,   -5.06,   -7.71
198712,    2.37,    4.84,    5.15,    5.93,    1.04,    0.76,    4.61,    3.68,    5.71,    5.16,    5.14,    6.41,    5.54,    3.21,    0.00
198801,    4.86,    5.52,    6.05,    6.14,   10.35,    4.77,    5.00,    5.23,    5.79,    5.32,    6.57,    6.08,    6.18,    7.67,   11.55
198802,    3.00,    6.29,    7.79,    8.24,    6.46,    1.94,    4.76,    6.50,    6.11,    7.58,    7.94,    8.51,    8.04,    7.25,    6.13
198803,    1.07,    2.22,    3.42,    3.66,    4.68,    1.07,    1.06,    1.07,    3.31,    2.71,    3.96,    3.84,    3.54,    5.18,    4.48
198804,    0.50,    1.25,    2.12,    2.09,    1.37,    0.46,    0.58,    0.93,    1.56,    1.86,    2.33,    2.17,    2.03,    1.31,    1.39
198805,    0.68,    0.26,   -1.45,   -1.18,   -2.82,    0.75,    0.56,    0.12,    0.38,   -2.06,   -0.92,   -1.34,   -1.04,   -1.64,   -3.39
198806,    3.72,    5.50,    6.22,    6.62,    4.60,    3.17,    4.48,    4.70,    6.34,    6.16,    6.26,    6.16,    7.01,    5.90,    3.92
198807,    0.05,   -0.27,   -0.44,   -0.50,    0.42,    0.37,   -0.49,   -0.45,   -0.10,   -0.88,   -0.08,   -0.55,   -0.47,    0.29,    0.49
198808,   -0.76,   -1.42,   -2.01,   -2.18,   -2.68,   -0.60,   -1.02,   -0.82,   -1.95,   -2.14,   -1.90,   -2.32,   -2.07,   -2.28,   -2.92
198809,    1.97,    2.68,    2.73,    2.12,    1.65,    1.37,    2.97,    2.90,    2.47,    2.70,    2.76,    2.16,    2.09,    2.49,    1.19
198810,    0.91,    0.32,   -0.31,    0.20,   -2.83,    0.31,    1.87,    0.30,    0.34,    0.24,   -0.73,    0.31,    0.15,   -0.68,   -4.01
198811,   -1.85,   -2.36,   -3.14,   -3.35,   -5.21,   -1.76,   -1.99,   -2.21,   -2.50,   -2.92,   -3.35,   -2.98,   -3.58,   -4.44,   -5.64
198812,    0.48,    2.15,    3.43,    3.03,    1.95,    0.38,    0.63,    1.52,    2.86,    3.20,    3.65,    2.45,    3.41,    3.13,    1.26
198901,    3.01,    5.37,    4.76,    5.52,    7.66,    2.76,    3.38,    5.27,    5.46,    4.95,    4.62,    5.74,    5.38,    5.69,    8.60
198902,   -0.04,    0.29,    0.69,    0.73,    0.27,    0.05,   -0.17,    0.57,    0.00,    0.52,    0.83,    0.98,    0.56,    0.76,    0.05
198903,    1.75,    2.17,    2.10,    2.06,    1.34,    1.14,    2.62,    2.72,    1.73,    2.22,    2.02,    2.06,    2.07,    1.72,    1.16
198904,    4.04,    4.69,    3.99,    3.92,    2.46,    3.33,    5.16,    5.08,    4.32,    5.06,    2.94,    3.34,    4.31,    3.78,    1.77
198905,    3.30,    3.64,    3.35,    3.60,    2.14,    3.33,    3.23,    3.30,    3.96,    2.99,    3.65,    3.77,    3.48,    3.01,    1.65
198906,    0.87,    0.38,   -0.48,   -0.90,   -1.99,    0.73,    1.06,    0.47,    0.30,   -0.23,   -0.68,   -0.76,   -1.02,   -1.74,   -2.13
198907,    3.74,    6.40,    4.76,    3.64,    1.80,    2.78,    5.19,    6.19,    6.56,    5.01,    4.56,    3.56,    3.69,    3.05,    1.09
198908,    1.67,    2.98,    3.53,    2.90,    1.22,    1.37,    2.14,    2.88,    3.09,    2.96,    3.95,    3.31,    2.61,    2.14,    0.68
198909,    0.18,   -0.32,   -0.22,    0.34,    0.48,    0.39,   -0.15,   -0.47,   -0.20,   -0.16,   -0.27,    0.71,    0.10,    0.66,    0.38
198910,   -2.23,   -3.77,   -5.00,   -5.47,   -5.92,   -1.91,   -2.72,   -3.84,   -3.70,   -4.79,   -5.23,   -5.49,   -5.46,   -5.07,   -6.35
198911,    0.75,    0.47,    0.19,   -0.29,   -2.20,    0.86,    0.60,    0.80,    0.16,   -0.21,    0.55,   -0.01,   -0.51,   -0.22,   -3.16
198912,    0.67,    0.32,   -0.49,   -0.36,   -2.96,    0.86,    0.38,    0.79,   -0.13,   -0.31,   -0.60,   -0.21,   -0.45,   -1.02,   -3.89
199001,   -3.75,   -6.16,   -6.39,   -6.28,   -4.50,   -2.41,   -5.54,   -6.05,   -6.24,   -6.91,   -5.96,   -6.47,   -6.13,   -7.18,   -2.83
199002,    0.74,    1.08,    2.18,    2.28,    2.37,    0.66,    0.85,    0.58,    1.57,    1.77,    2.55,    2.19,    2.34,    2.26,    2.44
199003,    1.69,    2.03,    2.42,    3.27,    2.59,    1.24,    2.38,    2.23,    1.85,    2.56,    2.31,    2.74,    3.53,    3.07,    2.24
199004,   -2.22,   -3.00,   -2.86,   -3.01,   -2.33,   -1.84,   -2.82,   -3.11,   -2.90,   -3.57,   -2.33,   -2.88,   -3.11,   -2.56,   -2.17
199005,    4.75,    5.31,    5.99,    5.62,    3.75,    3.94,    6.07,    5.42,    5.21,    5.69,    6.26,    4.85,    6.22,    5.11,    2.83
199006,   -0.57,    0.02,    0.44,    0.58,    0.64,   -0.31,   -0.95,    0.19,   -0.13,    0.00,    0.75,    0.17,    0.88,    1.16,    0.30
199007,   -0.66,   -1.83,   -2.51,   -3.29,   -3.89,   -0.84,   -0.36,   -2.34,   -1.36,   -2.36,   -2.64,   -3.55,   -3.10,   -3.02,   -4.39
199008,   -6.19,  -10.09,  -10.43,  -11.35,  -13.02,   -4.75,   -8.36,   -9.43,  -10.65,  -10.51,  -10.37,  -10.57,  -11.90,  -13.34,  -12.84
199009,   -3.65,   -6.01,   -7.34,   -8.36,   -9.42,   -3.11,   -4.56,   -6.02,   -6.01,   -7.78,   -6.98,   -8.57,   -8.20,   -9.08,   -9.61
199010,   -2.56,   -4.29,   -5.00,   -6.12,   -7.38,   -2.04,   -3.41,   -3.56,   -4.98,   -4.86,   -5.11,   -5.99,   -6.21,   -5.80,   -8.16
199011,    2.13,    5.50,    6.30,    5.83,    2.41,    1.36,    3.23,    4.85,    6.12,    6.24,    6.35,    6.25,    5.53,    3.79,    1.55
199012,    1.31,    2.35,    3.29,    3.10,   -3.40,    0.76,    2.04,    2.33,    2.37,    2.53,    4.03,    3.37,    2.86,    0.51,   -6.05
199101,    1.22,    4.31,    5.28,    7.84,   12.90,    0.15,    2.62,    4.18,    4.43,    4.06,    6.34,    8.55,    7.32,    9.18,   15.60
199102,    5.62,    8.83,    9.50,   11.83,   18.33,    4.59,    6.95,    7.83,    9.68,    8.61,   10.22,   11.62,   11.97,   14.45,   21.40
199103,    3.27,    4.45,    4.96,    6.88,   11.67,    3.29,    3.25,    4.63,    4.29,    5.63,    4.43,    6.13,    7.38,    9.79,   13.26
199104,    4.57,    1.86,    2.95,    2.57,    3.76,    7.29,    0.68,    1.39,    2.29,    2.36,    3.49,    1.86,    3.03,    3.11,    4.29
199105,    1.62,    4.28,    4.71,    3.44,    2.68,    0.68,    3.00,    3.54,    4.93,    4.04,    5.26,    3.58,    3.33,    4.87,    1.21
199106,   -1.86,   -3.18,   -2.91,   -3.77,   -3.93,   -1.17,   -2.88,   -2.57,   -3.74,   -2.80,   -3.01,   -3.86,   -3.72,   -3.99,   -3.89
199107,    4.08,    2.51,    2.72,    3.93,    3.47,    4.39,    3.57,    3.00,    2.03,    2.32,    3.08,    3.90,    3.94,    3.27,    3.58
199108,    1.40,    2.16,    2.96,    3.08,    3.64,    1.20,    1.68,    2.21,    2.12,    3.31,    2.70,    3.44,    2.81,    3.41,    3.78
199109,    1.73,   -0.35,   -0.74,    0.96,    1.19,    1.91,    1.46,   -0.42,   -0.28,   -0.54,   -0.91,   -0.35,    1.89,    0.73,    1.53
199110,    2.78,    0.91,    2.33,    2.32,    2.98,    1.73,    4.34,    1.00,    0.82,    2.64,    2.05,    0.80,    3.46,    2.15,    3.54
199111,   -0.86,   -2.81,   -2.72,   -3.86,   -2.17,   -0.27,   -1.68,   -2.77,   -2.85,   -3.49,   -2.12,   -3.48,   -4.13,   -1.94,   -2.30
199112,    4.93,    7.73,    8.32,    6.64,    1.32,    3.86,    6.48,    7.13,    8.28,    8.72,    8.01,    6.58,    6.69,    4.82,   -0.54
199201,    8.58,    3.85,    6.06,    9.69,   24.16,   11.18,    5.11,    3.12,    4.47,    5.04,    6.94,    7.66,   11.39,   14.46,   29.67
199202,    1.58,    3.63,    3.80,    4.45,    7.61,    0.91,    2.39,    3.75,    3.51,    3.23,    4.24,    5.86,    3.40,    4.86,    9.18
199203,    0.59,    2.14,   -0.89,   -1.98,   -1.94,    1.26,   -0.28,    3.61,    0.61,   -0.49,   -1.25,   -1.61,   -2.22,   -3.44,   -1.20
199204,    1.13,    1.92,   -0.85,   -2.96,   -6.24,    1.47,    0.68,    1.78,    2.05,   -0.24,   -1.36,   -1.81,   -3.76,   -5.79,   -6.44
199205,    1.22,    0.64,    0.79,    0.20,    0.08,    1.35,    1.04,    0.85,    0.39,    0.82,    0.76,    0.51,   -0.04,   -0.03,    0.13
199206,   -0.15,   -1.77,   -3.38,   -3.71,   -5.46,   -0.12,   -0.20,   -1.75,   -1.79,   -3.18,   -3.58,   -3.86,   -3.58,   -5.27,   -5.55
199207,    4.00,    3.47,    2.95,    4.25,    1.87,    4.34,    3.69,    3.77,    3.17,    2.80,    3.11,    4.77,    3.91,    3.46,    1.21
199208,   -0.47,   -1.57,   -2.07,   -1.80,   -3.52,   -0.40,   -0.54,   -1.27,   -1.84,   -2.44,   -1.76,   -1.19,   -2.24,   -2.61,   -3.86
199209,    1.28,    1.41,    2.28,    2.22,    0.97,    0.77,    1.75,    1.47,    1.36,    2.93,    1.73,    2.10,    2.33,    1.98,    0.58
199210,    0.49,    1.76,    1.99,    3.65,    2.14,   -0.28,    1.19,    1.25,    2.22,    2.45,    1.56,    3.05,    4.13,    4.00,    1.51
199211,    2.85,    5.01,    6.37,    7.94,    8.43,    1.55,    4.11,    4.49,    5.51,    6.69,    6.10,    7.29,    8.40,    9.49,    8.05
199212,    2.66,    3.50,    4.19,    3.79,    4.03,    2.80,    2.54,    3.28,    3.69,    3.57,    4.67,    3.39,    4.01,    4.55,    3.83
199301,    2.08,    2.23,    3.81,    4.62,    9.25,    2.05,    2.11,    1.78,    2.67,    3.37,    4.22,    5.18,    4.22,    4.90,   11.07
199302,    2.70,    1.00,   -0.29,   -1.66,   -2.33,    3.60,    1.87,    0.64,    1.31,   -0.02,   -0.52,   -1.23,   -1.95,   -3.08,   -2.02
199303,    2.71,    3.45,    3.63,    3.93,    2.47,    2.32,    3.09,    3.55,    3.37,    3.90,    3.41,    3.79,    4.05,    2.86,    2.31
199304,   -1.52,   -2.57,   -2.79,   -2.70,   -1.49,   -1.21,   -1.82,   -2.26,   -2.87,   -2.65,   -2.92,   -2.01,   -3.21,   -2.61,   -1.13
199305,    0.59,    1.95,    2.42,    3.86,    4.96,    0.00,    1.13,    1.70,    2.20,    2.44,    2.40,    3.24,    4.34,    4.64,    5.07
199306,    1.64,    0.66,    0.86,    0.40,    1.73,    1.85,    1.47,    0.71,    0.62,    1.44,    0.46,    0.26,    0.50,    1.03,    1.98
199307,    1.65,    1.35,    1.85,    1.28,    1.17,    2.06,    1.31,    1.54,    1.17,    1.62,    2.07,    1.79,    0.94,    1.46,    1.05
199308,    3.03,    3.40,    4.97,    4.60,    3.81,    2.39,    3.62,    3.76,    3.11,    4.82,    5.11,    4.46,    4.70,    4.69,    3.52
199309,    0.36,    1.10,    1.60,    2.92,    3.50,    0.46,    0.26,    0.88,    1.29,    1.16,    1.98,    2.59,    3.14,    3.66,    3.44
199310,   -0.33,    0.94,    2.49,    3.05,    5.48,   -1.10,    0.40,    0.48,    1.40,    2.84,    2.16,    2.81,    3.21,    4.59,    5.80
199311,   -2.85,   -1.63,   -1.63,   -1.98,   -2.82,   -3.10,   -2.63,   -1.83,   -1.42,   -2.21,   -1.18,   -1.57,   -2.26,   -2.29,   -3.00
199312,    2.19,    3.09,    3.89,    3.31,   -0.17,    2.44,    1.94,    2.33,    3.85,    3.26,    4.42,    3.21,    3.38,    2.48,   -1.01
199401,    1.88,    3.01,    3.16,    3.91,    6.02,    1.15,    2.59,    2.28,    3.63,    3.00,    3.30,    3.99,    3.85,    4.79,    6.35
199402,   -1.81,   -0.82,   -0.58,   -0.55,   -0.59,   -1.78,   -1.84,   -1.25,   -0.39,   -0.36,   -0.75,   -0.51,   -0.59,   -0.61,   -0.58
199403,   -2.79,   -3.38,   -4.06,   -4.90,   -4.49,   -2.26,   -3.29,   -3.73,   -3.07,   -3.55,   -4.55,   -4.68,   -5.05,   -4.65,   -4.45
199404,    1.66,    0.52,    0.84,    0.62,   -2.92,    1.70,    1.62,    0.85,    0.22,    0.64,    1.02,    0.90,    0.40,   -0.54,   -3.55
199405,   -0.07,    1.09,    1.01,   -0.07,   -0.73,   -0.74,    0.59,    0.87,    1.28,    0.51,    1.40,   -0.49,    0.31,   -0.79,   -0.72
199406,   -1.05,   -1.04,   -0.35,   -0.90,   -4.00,   -1.00,   -1.11,   -1.09,   -0.99,   -0.22,   -0.46,   -0.15,   -1.46,   -2.60,   -4.39
199407,    2.16,    2.70,    2.11,    2.15,    0.81,    2.10,    2.22,    3.12,    2.35,    2.37,    1.89,    2.48,    1.90,    1.80,    0.50
199408,    3.20,    3.28,    4.03,    4.87,    3.78,    3.03,    3.39,    2.51,    4.02,    3.36,    4.58,    4.22,    5.32,    4.82,    3.51
